Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Saharkhiz, N., Ehdaeevand, F., Tavana, A., Majdfar, Z., Fallahian, M.","54896328300; 56841646800; 55754773600; 16686737200; 6507592216","A comparative trial of the efficacy of mefenamic acid and tranexamic acid for treatment of menorrhagia induced by copper T-380A IUD",2017,"International Journal of Women's Health and Reproduction Sciences",5,"3",,175,180,,,10.15296/ijwhr.2017.32,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026805865&partnerID=40&md5=74adc063669ee5137eeebc5463981dcf",Article,Final,Open Access,Scopus,2-s2.0-85026805865
"Kim, M., Park, J.-M.","57200426952; 57200122447","Factors affecting cognitive function according to gender in community-dwelling elderly individuals",2017,"Epidemiology and health",39,"",,e2017054,,,4,10.4178/epih.e2017054,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041259033&partnerID=40&md5=4356eb27f8d0fba458f4e061193a761f",Article,Final,Open Access,Scopus,2-s2.0-85041259033
"Mustami, M.K., Suryadin, Wekke, I.S.","57163863600; 57194541714; 35076859100","Learning model combined with mind maps and cooperative strategies for junior high school student",2017,"Journal of Engineering and Applied Sciences",12,"7",,1681,1686,,1,10.3923/jeasci.2017.1681.1686,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020706346&partnerID=40&md5=7b333038485bf8292dc87bd1e896c602",Article,Final,,Scopus,2-s2.0-85020706346
"Tutz, G., Oelker, M.-R.","6701859143; 56005977000","Modelling clustered heterogeneity: Fixed effects, random effects and mixtures",2017,"International Statistical Review",85,"2",,204,227,,5,10.1111/insr.12161,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84953253257&partnerID=40&md5=ea5a1c99137425c678616536c607401e",Article,Final,,Scopus,2-s2.0-84953253257
"Abbasi, P., Charandabi, S.M.-A., Mirghafourvand, M.","57193519192; 35727236500; 37056285000","Comparing the effect of educational software and booklet on knowledge level regarding labor pain management: A randomized controlled clinical trial",2017,"International Journal of Women's Health and Reproduction Sciences",5,"3",,218,223,,1,10.15296/ijwhr.2017.39,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026804427&partnerID=40&md5=d0e515935c53ea99f91aaa584faca6d7",Article,Final,Open Access,Scopus,2-s2.0-85026804427
"Mazidi, M., Kengne, A.P., Vatanparast, H.","57200232563; 7801322838; 6505856095","Food Security and Leukocyte Telomere Length in Adult Americans",2017,"Oxidative Medicine and Cellular Longevity",2017,"", 5427657,,,,2,10.1155/2017/5427657,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029795521&partnerID=40&md5=611857716c92033a1493987e94554dfd",Article,Final,Open Access,Scopus,2-s2.0-85029795521
"Anisimov, V.N., Larsen, S., Lofberg, S., Baldueva, I.A., Malek, A.V., Nielsen, T.K., Fedoros, E.I., Perminova, I.V., Drobyshev, E.Y., Bykov, V.N., Panchenko, A.V., Scherbakov, A.M., Belyaev, A.M.","7203083897; 7402297013; 57197771061; 6602224742; 35741075000; 57207752758; 56676437400; 7003946824; 55837660800; 53263191300; 51964396400; 7003636718; 54995489300","Results and prospects of development of new polyphenolic drugs for cancer patients",2017,"Oncotarget",8,"59",,100951,100956,,1,10.18632/oncotarget.22307,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034664311&partnerID=40&md5=be9d81e777f101879d2aab83f4d982d2",Article,Final,Open Access,Scopus,2-s2.0-85034664311
"O'Rourke, J., Main, S., Hill, S.","15751444100; 37005666400; 36602620900","Commercially available digital game technology in the classroom: Improving automaticity in mental-maths in primary-aged students",2017,"Australian Journal of Teacher Education",42,"10",,50,70,,1,10.14221/ajte.2017v42n10.4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030725083&partnerID=40&md5=7506567f3ffda5e7643fc194868e8ab0",Article,Final,Open Access,Scopus,2-s2.0-85030725083
"Jawad, L.A., Gnohossou, P., Toussou, A.G., Ligas, A.","6602298224; 16232997200; 57193241459; 20436381700","Morphometric relationships of Coptodon guineensis and Sarotherodon melanotheron (Perciformes, Cichlidae) in two lakes of Benin (Western Africa)",2017,"Turkish Journal of Fisheries and Aquatic Sciences",17,"1",,217,221,,1,10.4194/1303-2712-v17_1_24,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85012016582&partnerID=40&md5=3f994c0ba530fa217f04771cd197491d",Article,Final,Open Access,Scopus,2-s2.0-85012016582
"Mazidi, M., Penson, P., Banach, M.","57200232563; 6506734112; 22936699500","Association between telomere length and complete blood count in US adults",2017,"Archives of Medical Science",13,"3",,601,605,,11,10.5114/aoms.2017.67281,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019558114&partnerID=40&md5=40a59d5ad74a675e95af206f05fe1445",Article,Final,Open Access,Scopus,2-s2.0-85019558114
"Yeung, L.A., Tse, W.S.","57193670387; 7006289002","Why does digit ratio research fail to give any implication regarding the organizational effect of prenatal androgen?",2017,"Journal of Individual Differences",38,"1",,36,45,,3,10.1027/1614-0001/a000220,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015637799&partnerID=40&md5=c307ebf4649e1480d67f0c789a6e9cad",Article,Final,,Scopus,2-s2.0-85015637799
"Kim, S.-R., Kim, H.-H., Nam, S.-H.","57197815327; 57197820883; 35794742100","Effect of oral health education on the planned behavior theory variables among hospitalized alcoholic patients using structural equation model",2017,"Biomedical Research (India)",28,"19",,8316,8320,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85035026784&partnerID=40&md5=536207c71d391b964695adb767dc57ad",Article,Final,,Scopus,2-s2.0-85035026784
"Park, M.-H., Won, J.-I.","57194947661; 57146476600","The effects of task-oriented training with altered sensory input on balance in patients with chronic stroke",2017,"Journal of Physical Therapy Science",29,"7",,1208,1211,,,10.1589/jpts.29.1208,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85024378914&partnerID=40&md5=0a021565d08fdc9c094bede5f6f267ee",Article,Final,Open Access,Scopus,2-s2.0-85024378914
"Sirikasemsuk, K., Leerojanaprapa, K.","36938565300; 56436643000","One missing value problem in Latin square design of any order: Exact analysis of variance",2017,"Cogent Engineering",4,"1", 1411222,,,,3,10.1080/23311916.2017.1411222,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038428187&partnerID=40&md5=5906d235eaea15a1f37b972d9414b193",Article,Final,Open Access,Scopus,2-s2.0-85038428187
"Wilcox, R.","7202527113","Robust ANCOVA: Confidence intervals that have some specified simultaneous probability coverage when there is curvature and two covariates",2017,"Journal of Modern Applied Statistical Methods",16,"1",,3,19,,1,10.22237/jmasm/1493596800,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020399000&partnerID=40&md5=e709c9d164ab297fd739de0253d71fe1",Article,Final,Open Access,Scopus,2-s2.0-85020399000
"Esan, O., Osunbote, C., Oladele, O., Fakunle, S., Ehindero, C., Fountoulakis, K.N.","24467902600; 57191825883; 57191823771; 57191826489; 57191834421; 7005197466","Bipolar I disorder in remission vs. schizophrenia in remission: Is there a difference in burden?",2017,"Comprehensive Psychiatry",72,"",,130,135,,2,10.1016/j.comppsych.2016.10.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84994029460&partnerID=40&md5=bcc1b50e8a1d03bde5a7439406eda2ac",Article,Final,,Scopus,2-s2.0-84994029460
"Ito, M., Kusuhara, S., Yokoi, W., Sato, T., Ishiki, H., Miida, S., Matsui, A., Nakamori, K., Nonaka, C., Miyazaki, K.","57206962134; 57194001915; 6506890809; 57200334178; 57194011857; 57194023498; 57200980773; 56121370000; 18434734200; 35731868600","Streptococcus thermophilus fermented milk reduces serum MDA-LDL and blood pressure in healthy and mildly hypercholesterolaemic adults",2017,"Beneficial Microbes",8,"2",,171,178,,2,10.3920/BM2016.0102,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018297483&partnerID=40&md5=cf8fae554b78c6725ed3bb63753c028d",Article,Final,,Scopus,2-s2.0-85018297483
"Schauberger, G., Tutz, G.","55458143200; 6701859143","Subject-specific modelling of paired comparison data: A lasso-type penalty approach",2017,"Statistical Modelling",17,"3",,223,243,,3,10.1177/1471082X17693086,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019124391&partnerID=40&md5=c9f13c73121177d4c21cb87c17ac5fdf",Article,Final,,Scopus,2-s2.0-85019124391
"Mansouri, A., Mirghafourvand, M., Charandabi, S.M.A., Najafi, M.","56583741300; 37056285000; 35727236500; 35111709400","The effect of vitamin D and calcium plus vitamin D on leg cramps in pregnant women: A randomized controlled trial",2017,"Journal of Research in Medical Sciences",22,"1",,,,,3,10.4103/1735-1995.200271,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85025070561&partnerID=40&md5=238a40ab3c880ff500ad0d0e496ac82f",Article,Final,Open Access,Scopus,2-s2.0-85025070561
"Moeenizadeh, M., Zarif, H.","57191977389; 57191977261","The efficacy of well-being therapy for depression in infertile women",2017,"International Journal of Fertility and Sterility",10,"4",,363,370,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84995633241&partnerID=40&md5=498e7b212899575bf1a50c0d0bea082b",Article,Final,,Scopus,2-s2.0-84995633241
"Galatsch, M., Li, J., Sayn-Wittgenstein, F.Z., Schnepp, W.","18434063900; 54936611200; 55240140500; 24177755100","Family caregiver satisfaction with home-based palliative care services in north Rhine-Westphalia, Germany",2017,"Central European Journal of Nursing and Midwifery",8,"4",,723,730,,,10.15452/CEJNM.2017.08.0025,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046673685&partnerID=40&md5=ba2685f8685b335823074146f39a175a",Article,Final,Open Access,Scopus,2-s2.0-85046673685
"Esmaili, S.K., Shafaroodi, N., Mehraban, A.H., Parand, A., Zarei, M., Akbari-Zardkhaneh, S.","56997272200; 56069698200; 56069988500; 36632867500; 57191832060; 23977506900","Effect of play-based therapy on metacognitive and behavioral aspects of executive function: A randomized, controlled, clinical trial on the students with learning disabilities",2017,"Basic and Clinical Neuroscience",8,"3",,203,212,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021274589&partnerID=40&md5=f06d7241958284e87be0f690c4f52416",Article,Final,,Scopus,2-s2.0-85021274589
"Ghosh, P., Liu, L., Senchaudhuri, P., Gao, P., Mehta, C.","57193765231; 55621854300; 6603315384; 34770577100; 7006228784","Design and monitoring of multi-arm multi-stage clinical trials",2017,"Biometrics",73,"4",,1289,1299,,10,10.1111/biom.12687,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016401996&partnerID=40&md5=b6493f680ea5137a39c67cb3fffad386",Article,Final,Open Access,Scopus,2-s2.0-85016401996
"Fortes, L.S., Vasconcelos, G.C., Mendonça, L.C.V., Paes, P.P., Paes, S.T., Vianna, J.M.","54986005700; 57194343426; 57193685547; 55785977600; 55194260300; 24333652500","Can disordered eating behaviors reduce maximum oxygen consumption in road cyclists? | Comportamentos de risco para os transtornos alimentares pode reduzir o consumo máximo de oxigênio em ciclistas de estrada?",2017,"Revista Brasileira de Cineantropometria e Desempenho Humano",19,"3",,323,330,,,10.5007/1980-0037.2017v19n3p323,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028319031&partnerID=40&md5=d5e398011031e147b76f96e2106283b4",Article,Final,Open Access,Scopus,2-s2.0-85028319031
"Zajac, L.M., Moran, K.J., Groh, C.J.","57195217625; 54384004900; 7004004588","Confronting compassion fatigue: Assessment and intervention in inpatient oncology",2017,"Clinical Journal of Oncology Nursing",21,"4",,446,453,,1,10.1188/17.CJON.446-453,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026300384&partnerID=40&md5=2306a67dd56a9864f1683749c268a949",Article,Final,,Scopus,2-s2.0-85026300384
"Agha, Z.L., Nazari, A.M., Rasouli, M.","57194901482; 55200954700; 57192807484","The effectiveness of relationship of enhancement program on quality of work life (QWL)",2017,"Iran Occupational Health",14,"1",,156,164,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85024123437&partnerID=40&md5=4f651c29763d08649b66d5aad01ad3a0",Article,Final,,Scopus,2-s2.0-85024123437
"Borowska, M., Dworacka, M., Winiarska, H., Krzyzagórska, E.","11340052100; 56001674600; 6602524262; 6506159304","Homocysteine as a non-classical risk factor for atherosclerosis in relation to pharmacotherapy of type 2 diabetes mellitus",2017,"Acta Biochimica Polonica",64,"4",,603,607,,2,10.18388/abp.2016_1489,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039166990&partnerID=40&md5=dfa4f4b6b4eec907ca86898a9ab3b6dc",Article,Final,Open Access,Scopus,2-s2.0-85039166990
"Quinlan, P., Davis, J., Fields, K., Madamba, P., Colman, L., Tinca, D., Cannon Drake, R.","15129100100; 54392352500; 55565588200; 57195929356; 57195927538; 57195928438; 57195933002","Effects of Localized Cold Therapy on Pain in Postoperative Spinal Fusion Patients: A Randomized Control Trial",2017,"Orthopaedic Nursing",36,"5",,344,349,,1,10.1097/NOR.0000000000000382,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030168557&partnerID=40&md5=19daac696a5ea80017c321250904494b",Article,Final,,Scopus,2-s2.0-85030168557
"Smith, T.E., Panisch, L.S., Malespin, T., Graça Pereira, M.","7405499808; 57194189779; 56692867500; 26654799100","Evaluating effectiveness of abstinence education",2017,"Journal of Evidence-Informed Social Work",14,"5",,360,367,,,10.1080/23761407.2017.1340860,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032336868&partnerID=40&md5=5ef3d54e5e0f6243f8178dbf6503a8ba",Article,Final,,Scopus,2-s2.0-85032336868
"Correa-Ochoa, J.L., Pandales-Pérez, H., Román-Vásquez, V.L., Palacio-Arango, B.L., Zuleta-Tobón, J.J.","56515400400; 55989181400; 57194229651; 57194230738; 19934679000","Impact on quality of life and sexual satisfaction of total abdominal hysterectomy and vaginal hysterectomy in the absence of prolapse. cohort study, Medellín, 2015",2017,"Revista Colombiana de Obstetricia y Ginecologia",68,"1",,12,24,,1,10.18597/rcog.2977,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019346922&partnerID=40&md5=fbc00a93a464446f235a9cc4af0530e4",Article,Final,Open Access,Scopus,2-s2.0-85019346922
"Hong, I., Aaron, S.E., Li, C.-Y., Simpson, A.N.","57188734640; 57190745419; 56675059300; 23670799500","Physical activity and the risk of depression in community-dwelling Korean adults with a history of stroke",2017,"Physical Therapy",97,"1",,105,113,,3,10.2522/ptj.20160011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85010653985&partnerID=40&md5=a9e61890880951a02ab2af46c50373a6",Article,Final,Open Access,Scopus,2-s2.0-85010653985
"Manfredi, C., Lebacq, J., Cantarella, G., Schoentgen, J., Orlandi, S., Bandini, A., DeJonckere, P.H.","7005896806; 56362067200; 7004454562; 6701848223; 7003310571; 55644474000; 7004991773","Smartphones Offer New Opportunities in Clinical Voice Research",2017,"Journal of Voice",31,"1",,111.e1,111.e7,,10,10.1016/j.jvoice.2015.12.020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962670681&partnerID=40&md5=05851c62a0f8ff11e3c0aba3c994fed2",Article,Final,,Scopus,2-s2.0-84962670681
"Shim, K., Yim, J.","51462085300; 23398908800","Discriminant problems in the nonlinear model",2017,"Information (Japan)",20,"1",,15,22,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018313168&partnerID=40&md5=d53bcd0154ab626ea25c2277613305e9",Article,Final,,Scopus,2-s2.0-85018313168
"Milovanovic, V., Smutka, L.","57184015300; 30567922800","Asian countries in the global rice market",2017,"Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis",65,"2",,679,688,,2,10.11118/actaun201765020679,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018386055&partnerID=40&md5=8c35532be1a23c79b46852dd27a5d0fc",Article,Final,Open Access,Scopus,2-s2.0-85018386055
"Park, J., Park, H.","24473467400; 9237800500","Muscle strength and carotid artery flow velocity is associated with increased risk of atherosclerosis in adults",2017,"Cardiology Journal",24,"4",,385,392,,2,10.5603/CJ.a2017.0007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028298176&partnerID=40&md5=93a57ca47e794f05a769c760bb67b7ad",Article,Final,Open Access,Scopus,2-s2.0-85028298176
"Li, R., Lo, E.C.M., Liu, B.Y., Wong, M.C.M., Chu, C.H.","57189634906; 7101705982; 56130631700; 26029250900; 7404345729","Randomized clinical trial on preventing root caries among community-dwelling elders",2017,"JDR Clinical and Translational Research",2,"1",,66,72,,2,10.1177/2380084416668491,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050355635&partnerID=40&md5=85b4648b5f72f06b53a570625bcf2883",Article,Final,,Scopus,2-s2.0-85050355635
"Handelzalts, J.E., Waldman Peyser, A., Krissi, H., Levy, S., Wiznitzer, A., Peled, Y.","14013728600; 57192812264; 8872707400; 55439001500; 7004348365; 7004431783","Indications for emergency intervention, mode of delivery, and the childbirth experience",2017,"PLoS ONE",12,"1", e0169132,,,,4,10.1371/journal.pone.0169132,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85008237818&partnerID=40&md5=d393dc6ec8c6385e89ece07c95af245d",Article,Final,Open Access,Scopus,2-s2.0-85008237818
"Coyne, K.S., Poon, J.-L., Thompson, C., Hu, Y., Datto, C.J., Sostek, M.","56179499300; 55185003500; 36127823300; 57192719629; 6603257365; 6602487744","Translating Clinical Findings into the Patient's Perspective: Post-hoc Pooled Analysis of Bowel Movement Changes as a Predictor of Improvement in Patients’ Opioid-induced Constipation Symptoms and Outcomes",2017,"Clinical Therapeutics",39,"1",,75,88,,2,10.1016/j.clinthera.2016.11.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85007529827&partnerID=40&md5=8412aec3eba9300adf35b6204c97f878",Article,Final,,Scopus,2-s2.0-85007529827
"Targum, S.D., Risinger, R., Du, Y., Pendergrass, J.C., Jamal, H.H., Silverman, B.L.","7004353821; 57207671338; 56499689600; 23036352200; 7004748610; 7101647909","Effect of patient age on treatment response in a study of the acute exacerbation of psychosis in schizophrenia",2017,"Schizophrenia Research",179,"",,64,69,,3,10.1016/j.schres.2016.09.034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85000783275&partnerID=40&md5=9909de6946bd26bbfdd8d17162f8a7da",Article,Final,,Scopus,2-s2.0-85000783275
"Spiegel, E., Sobotka, F., Kneib, T.","57195353855; 36680853300; 6506390193","Model selection in semiparametric expectile regression",2017,"Electronic Journal of Statistics",11,"2",,3008,3038,,2,10.1214/17-EJS1307,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027409620&partnerID=40&md5=bde2332be3bb3108fc7b85d723df4e4e",Article,Final,Open Access,Scopus,2-s2.0-85027409620
"Reynolds, M.H., Courtot, K.N., Hatfield, J.S.","7202326935; 55343858800; 7103081838","How many Laysan Teal Anas laysanensis are on Midway Atoll? Methods for monitoring abundance after reintroduction",2017,"Wildfowl",67,"",,60,71,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039847344&partnerID=40&md5=6896cae5523819c939873a3eaabe01a1",Article,Final,,Scopus,2-s2.0-85039847344
"Saeidi, M., Soroush, A., Komasi, S., Singh, P.","56644469900; 56845193600; 56644928600; 55463323200","A hybrid cardiac rehabilitation is as effective as a hospital-based program in reducing chest pain intensity and discomfort",2017,"Korean Journal of Pain",30,"4",,265,271,,4,10.3344/kjp.2017.30.4.265,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030540174&partnerID=40&md5=8b9e301038692fb4d66cb5709e40727f",Article,Final,Open Access,Scopus,2-s2.0-85030540174
"Turner, R.B., Woodfolk, J.A., Borish, L., Steinke, J.W., Patrie, J.T., Muehling, L.M., Lahtinen, S., Lehtinen, M.J.","7404557083; 7003422100; 7006036339; 7006019453; 35458182900; 57095069400; 35609814000; 7102124669","Effect of probiotic on innate inflammatory response and viral shedding in experimental rhinovirus infection - A randomised controlled trial",2017,"Beneficial Microbes",8,"2",,207,215,,10,10.3920/BM2016.0160,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018260305&partnerID=40&md5=a7d5fcb406de0b85c16f6f71d2a0a24a",Article,Final,,Scopus,2-s2.0-85018260305
"Dua, S., Chahal, R.","57195479399; 57195477556","Inter-relationship of customer based brand equity with extended service marketing mix (3P's): An empirical study of private banking sector",2017,"International Journal of Applied Business and Economic Research",15,"16",,75,92,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028344254&partnerID=40&md5=43197aaf672d9ff997a8f21a4d856323",Article,Final,,Scopus,2-s2.0-85028344254
"Tezcan, G., Güvenç, H.","55860302900; 36447319700","The effects of 4MAT teaching model and whole brain model on academic achievement in science",2017,"Egitim ve Bilim",42,"192",,303,325,,,10.15390/EB.2017.7085,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85036617910&partnerID=40&md5=7125418ffca4b05cc8c65808d9b16cc0",Article,Final,Open Access,Scopus,2-s2.0-85036617910
"Kim, E., Kang, H., Kim, N.","57193264054; 56567050700; 57207094599","Effects of nutritional intervention in long-term care in Korea",2017,"Journal of Gerontological Nursing",43,"2",,55,64,,1,10.3928/00989134-20161109-06,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85012235778&partnerID=40&md5=0a8ceb6a9b9e089cb33ca96b3f648802",Article,Final,,Scopus,2-s2.0-85012235778
"Navidian, A., Moudi, Z., Esmaealzade, M.","54584148100; 54584135600; 57195511840","The effectiveness of group cognitive behavioral therapy based on cash's eight-step model in body image of primiparous women",2017,"Iranian Journal of Psychiatry and Behavioral Sciences",11,"2", e7236,,,,,10.5812/ijpbs.7236,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028527014&partnerID=40&md5=087881796584647e9f265fcc7d2040a3",Article,Final,Open Access,Scopus,2-s2.0-85028527014
"Tasdighi, A., Arabi, M., Osmond, D.L.","57192948201; 14520309600; 7101898933","The relationship between land use and vulnerability to nitrogen and phosphorus pollution in an urban watershed",2017,"Journal of Environmental Quality",46,"1",,113,122,,15,10.2134/jeq2016.06.0239,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85009397508&partnerID=40&md5=d6a68b31cd83321f92af3d3a6da5f3ae",Article,Final,Open Access,Scopus,2-s2.0-85009397508
"Aguilar-Ramírez, D., Devezé-Mur Illo, P., Acosta-Jimeno, J., Villagómez-Cortés, J.A.","57200139156; 57200141673; 57200142845; 26532125300","The fish population size of tepetitlan reservoir (Mexico) is at a Critical State",2017,"Annual Research and Review in Biology",21,"4", ARRB.37307,,,,,10.9734/ARRB/2017/37307,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039908557&partnerID=40&md5=2ed46689cb01ab5865e917a19ca9c3cc",Article,Final,,Scopus,2-s2.0-85039908557
"Rahman, S., Azmi, N.H., Surat, S., Yusoff, A.N., Marzuki, M.A.","26640672400; 57193678375; 55372008400; 6602168755; 56512175400","Idea generation training: Impact on originality, fluency, flexibility, and elaboration among university students",2017,"International Journal of Economic Research",14,"16",,19,28,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040195891&partnerID=40&md5=433663655700c2b7941739e5594cb3f0",Article,Final,,Scopus,2-s2.0-85040195891
"Song, M., Yang, N.","36895867400; 56912754100","The effects of respiratory hygiene/cough etiquette education on high school students",2017,"Information (Japan)",20,"8",,5933,5940,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85057643542&partnerID=40&md5=682e1bce22f072f3cc6cb9ca6c4c3893",Article,Final,,Scopus,2-s2.0-85057643542
