Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"The kinematics of paretic lower limb in aquatic gait with equipment in people with post-stroke hemiparesis.","/pubmed/31382199","Pereira JA, de Souza KK, Pereira SM, Ruschel C, Hubert M, Michaelsen SM.","Clin Biomech (Bristol, Avon). 2019 Jul 23;70:16-22. doi: 10.1016/j.clinbiomech.2019.07.024. [Epub ahead of print]","Clin Biomech (Bristol, Avon).  2019","PubMed","citation","PMID:31382199","pubmed","31382199","create date:2019/08/06 | first author:Pereira JA",
"Association Between Gait Kinetics and Symptomatic Progression in Persons With Patellofemoral With/Without Concurrent Tibiofemoral Osteoarthritis.","/pubmed/31378998","Liao TC, Teng HL, Link TM, Majumdar S, Souza RB.","J Orthop Res. 2019 Aug 5. doi: 10.1002/jor.24433. [Epub ahead of print]","J Orthop Res.  2019","PubMed","citation","PMID:31378998","pubmed","31378998","create date:2019/08/06 | first author:Liao TC",
"The relationship between individual alpha peak frequency and clinical outcome with repetitive Transcranial Magnetic Stimulation (rTMS) treatment of Major Depressive Disorder (MDD).","/pubmed/31378603","Corlier J, Carpenter LL, Wilson AC, Tirrell E, Gobin AP, Kavanaugh B, Leuchter AF.","Brain Stimul. 2019 Jul 25. pii: S1935-861X(19)30302-X. doi: 10.1016/j.brs.2019.07.018. [Epub ahead of print]","Brain Stimul.  2019","PubMed","citation","PMID:31378603","pubmed","31378603","create date:2019/08/06 | first author:Corlier J",
"Complex care for kids Ontario: protocol for a mixed-methods randomised controlled trial of a population-level care coordination initiative for children with medical complexity.","/pubmed/31375613","Orkin J, Chan CY, Fayed N, Lin JLL, Major N, Lim A, Peebles ER, Moretti ME, Soscia J, Sultan R, Willan AR, Offringa M, Guttmann A, Bartlett L, Kanani R, Culbert E, Hardy-Brown K, Gordon M, Perlmutar M, Cohen E.","BMJ Open. 2019 Aug 1;9(8):e028121. doi: 10.1136/bmjopen-2018-028121.","BMJ Open.  2019","PubMed","citation","PMID:31375613","pubmed","31375613","create date:2019/08/04 | first author:Orkin J",
"Screen Time and Cardiovascular Risks Among Middle-Aged Women.","/pubmed/31373954","Ham OK, Lee BG.","J Cardiovasc Nurs. 2019 Jul 31. doi: 10.1097/JCN.0000000000000598. [Epub ahead of print]","J Cardiovasc Nurs.  2019","PubMed","citation","PMID:31373954","pubmed","31373954","create date:2019/08/03 | first author:Ham OK",
"Psychological distress and substance use among young adults with comorbid asthma and obesity.","/pubmed/31373892","Hawkins MAW, Clawson AH, Smith CE, Stout ME, Keirns NG, Ruppe NM.","J Am Coll Health. 2019 Aug 2:1-8. doi: 10.1080/07448481.2019.1643353. [Epub ahead of print]","J Am Coll Health.  2019","PubMed","citation","PMID:31373892","pubmed","31373892","create date:2019/08/03 | first author:Hawkins MAW",
"Sex differences in limbic network and risk-taking propensity in healthy individuals.","/pubmed/31373060","Bajaj S, Killgore WDS.","J Neurosci Res. 2019 Aug 1. doi: 10.1002/jnr.24504. [Epub ahead of print]","J Neurosci Res.  2019","PubMed","citation","PMID:31373060","pubmed","31373060","create date:2019/08/03 | first author:Bajaj S",
"Smoking results in accumulation of ectopic fat in the liver.","/pubmed/31372017","Kato A, Li Y, Ota A, Naito H, Yamada H, Nihashi T, Hotta Y, Chiang C, Hirakawa Y, Aoyama A, Tamakoshi K, Yatsuya H.","Diabetes Metab Syndr Obes. 2019 Jul 9;12:1075-1080. doi: 10.2147/DMSO.S212495. eCollection 2019.","Diabetes Metab Syndr Obes.  2019","PubMed","citation","PMID:31372017 | PMCID:PMC6628959","pubmed","31372017","create date:2019/08/03 | first author:Kato A",
"Differences in the Levels of Physical Activity, Mental Health, and Quality of Life of Elderly Koreans with Activity-Limiting Disabilities.","/pubmed/31370296","Lee K, So WY.","Int J Environ Res Public Health. 2019 Jul 31;16(15). pii: E2736. doi: 10.3390/ijerph16152736.","Int J Environ Res Public Health.  2019","PubMed","citation","PMID:31370296","pubmed","31370296","create date:2019/08/03 | first author:Lee K",
"Neurobiological commonalities and distinctions among 3 major psychiatric disorders: a graph theoretical analysis of the structural connectome","/pubmed/31368294","Wang S, Gong G, Zhong S, Duan J, Yin Z, Chang M, Wei S, Jiang X, Zhou Y, Tang Y, Wang F.","J Psychiatry Neurosci. 2019 Aug 1;44(5):1-8. [Epub ahead of print]","J Psychiatry Neurosci.  2019","PubMed","citation","PMID:31368294","pubmed","31368294","create date:2019/08/02 | first author:Wang S",
"Youth Needs at Intake into Trauma-Informed Group Homes and Response to Services: An Examination of Trauma Exposure, Symptoms, and Clinical Impression.","/pubmed/31368126","Tyler PM, Patwardan I, Ringle JL, Chmelka MB, Mason WA.","Am J Community Psychol. 2019 Aug 1. doi: 10.1002/ajcp.12364. [Epub ahead of print]","Am J Community Psychol.  2019","PubMed","citation","PMID:31368126","pubmed","31368126","create date:2019/08/02 | first author:Tyler PM",
"Genetic Variation of the Vitamin D Binding Protein Affects Vitamin D Status and Response to Supplementation in Infants.","/pubmed/31365099","Enlund-Cerullo M, Koljonen L, Holmlund-Suila E, Hauta-Alus H, Rosendahl J, Valkama S, Helve O, Hytinantti T, Viljakainen H, Andersson S, Mäkitie O, Pekkinen M.","J Clin Endocrinol Metab. 2019 Jul 31. pii: jc.2019-00630. doi: 10.1210/jc.2019-00630. [Epub ahead of print]","J Clin Endocrinol Metab.  2019","PubMed","citation","PMID:31365099","pubmed","31365099","create date:2019/08/01 | first author:Enlund-Cerullo M",
"Elevated Unconjugated Bilirubin in Schizophrenia Compared to Bipolar Affective Disorder.","/pubmed/31364826","Pradeep JR, Acharya MS, Radhakrishnan R, Srinivasan K.","Prim Care Companion CNS Disord. 2019 Jul 25;21(4). pii: 19m02448. doi: 10.4088/PCC.19m02448.","Prim Care Companion CNS Disord.  2019","PubMed","citation","PMID:31364826","pubmed","31364826","create date:2019/08/01 | first author:Pradeep JR",
"U-shaped relationship between birth weight and childhood blood pressure in China.","/pubmed/31362719","Lai C, Hu Y, He D, Liang L, Xiong F, Liu G, Gong C, Luo F, Chen S, Wang C, Zhu Y.","BMC Pediatr. 2019 Jul 31;19(1):264. doi: 10.1186/s12887-019-1638-9.","BMC Pediatr.  2019","PubMed","citation","PMID:31362719 | PMCID:PMC6668161","pubmed","31362719","create date:2019/08/01 | first author:Lai C",
"Changes in Adolescents' Oral Health Status: Responsiveness of the Child Perception Questionnaire11-14.","/pubmed/31362297","Aimée NR, van Wijk AJ, Varjão MM, Paes AB, Lourenço J, Mestrinho HD, Carvalho JC.","Caries Res. 2019 Jul 30:1-9. doi: 10.1159/000501587. [Epub ahead of print]","Caries Res.  2019","PubMed","citation","PMID:31362297","pubmed","31362297","create date:2019/07/31 | first author:Aimée NR",
"Efficacy of Oscillation and Lung Expansion in Reducing Postoperative Pulmonary Complication.","/pubmed/31362061","Huynh TT, Liesching TN, Cereda M, Lei Y, Frazer MJ, Nahouraii MR, Diette GB.","J Am Coll Surg. 2019 Jul 27. pii: S1072-7515(19)30444-2. doi: 10.1016/j.jamcollsurg.2019.06.004. [Epub ahead of print]","J Am Coll Surg.  2019","PubMed","citation","PMID:31362061","pubmed","31362061","create date:2019/07/31 | first author:Huynh TT",
"Comparison of plate and screw constructs versus screws only for anterior distal femoral hemiepiphysiodesis in children.","/pubmed/31361704","Nazareth A, Gyorfi MJ, Rethlefsen SA, Wiseley B, Noonan K, Kay RM.","J Pediatr Orthop B. 2019 Jul 29. doi: 10.1097/BPB.0000000000000661. [Epub ahead of print]","J Pediatr Orthop B.  2019","PubMed","citation","PMID:31361704","pubmed","31361704","create date:2019/07/31 | first author:Nazareth A",
"Associations of dietary choline intake with risk of incident dementia and with cognitive performance: the Kuopio Ischaemic Heart Disease Risk Factor Study.","/pubmed/31360988","Ylilauri MPT, Voutilainen S, Lönnroos E, Virtanen HEK, Tuomainen TP, Salonen JT, Virtanen JK.","Am J Clin Nutr. 2019 Jul 30. pii: nqz148. doi: 10.1093/ajcn/nqz148. [Epub ahead of print]","Am J Clin Nutr.  2019","PubMed","citation","PMID:31360988","pubmed","31360988","create date:2019/07/31 | first author:Ylilauri MPT",
"Four-year follow-up of inflammatory arthropathy patients treated with golimumab: Data from the observational multicentre NOR-DMARD study.","/pubmed/31358361","Michelsen B, Sexton J, Wierød A, Bakland G, Rødevand E, Krøll F, Kvien TK.","Semin Arthritis Rheum. 2019 Jul 12. pii: S0049-0172(19)30082-4. doi: 10.1016/j.semarthrit.2019.07.003. [Epub ahead of print]","Semin Arthritis Rheum.  2019","PubMed","citation","PMID:31358361","pubmed","31358361","create date:2019/07/31 | first author:Michelsen B",
"Progressive changes in human follicular fluid composition over the course of ovulation: quantitative proteomic analyses.","/pubmed/31356852","Poulsen LC, Pla I, Sanchez A, Grøndahl ML, Marko-Varga G, Yding Andersen C, Englund ALM, Malm J.","Mol Cell Endocrinol. 2019 Jul 26;495:110522. doi: 10.1016/j.mce.2019.110522. [Epub ahead of print]","Mol Cell Endocrinol.  2019","PubMed","citation","PMID:31356852","pubmed","31356852","create date:2019/07/30 | first author:Poulsen LC",
"Burnout and Its Relationships With Alexithymia, Stress, Self-Esteem, Depression, Alcohol Use Disorders, and Emotional Intelligence: Results From a Lebanese Cross-Sectional Study.","/pubmed/31356406","Lahoud N, Zakhour M, Haddad C, Salameh P, Akel M, Fares K, Hallit S, Obeid S.","J Nerv Ment Dis. 2019 Aug;207(8):642-650. doi: 10.1097/NMD.0000000000001017.","J Nerv Ment Dis.  2019","PubMed","citation","PMID:31356406","pubmed","31356406","create date:2019/07/30 | first author:Lahoud N",
"Dizziness and Convergence Insufficiency in Children: Screening and Management.","/pubmed/31354441","Wiener-Vacher SR, Wiener SI, Ajrezo L, Obeid R, Mohamed D, Boizeau P, Alberti C, Bucci MP.","Front Integr Neurosci. 2019 Jul 10;13:25. doi: 10.3389/fnint.2019.00025. eCollection 2019.","Front Integr Neurosci.  2019","PubMed","citation","PMID:31354441 | PMCID:PMC6636600","pubmed","31354441","create date:2019/07/30 | first author:Wiener-Vacher SR",
"A Ketogenic Diet Is Acceptable in Women with Ovarian and Endometrial Cancer and Has No Adverse Effects on Blood Lipids: a Randomized, Controlled Trial.","/pubmed/31352797","Cohen CW, Fontaine KR, Arend RC, Gower BA.","Nutr Cancer. 2019 Jul 27:1-11. doi: 10.1080/01635581.2019.1645864. [Epub ahead of print]","Nutr Cancer.  2019","PubMed","citation","PMID:31352797","pubmed","31352797","create date:2019/07/30 | first author:Cohen CW",
"The use of mobile technology and peer navigation to promote adolescent and young adult (AYA) cancer survivorship care: results of a randomized controlled trial.","/pubmed/31350681","Casillas JN, Schwartz LF, Crespi CM, Ganz PA, Kahn KL, Stuber ML, Bastani R, Alquaddomi F, Estrin DL.","J Cancer Surviv. 2019 Aug;13(4):580-592. doi: 10.1007/s11764-019-00777-7. Epub 2019 Jul 26.","J Cancer Surviv.  2019","PubMed","citation","PMID:31350681","pubmed","31350681","create date:2019/07/28 | first author:Casillas JN",
"Comparing the clinical presentation of eating disorder patients with and without trauma history and/or comorbid PTSD.","/pubmed/31348724","Scharff A, Ortiz SN, Forrest LN, Smith AR.","Eat Disord. 2019 Jul 26:1-15. doi: 10.1080/10640266.2019.1642035. [Epub ahead of print]","Eat Disord.  2019","PubMed","citation","PMID:31348724","pubmed","31348724","create date:2019/07/28 | first author:Scharff A",
"Poor Work-Life Balance May Lead to Impaired Cognitive Function in Bus Drivers.","/pubmed/31348427","Lee DW, Hong YC, Seo HY, Cho SJ, Nam SH, Park CJ, Lee N.","J Occup Environ Med. 2019 Jul 22. doi: 10.1097/JOM.0000000000001675. [Epub ahead of print]","J Occup Environ Med.  2019","PubMed","citation","PMID:31348427","pubmed","31348427","create date:2019/07/28 | first author:Lee DW",
"Lower Eyelid Reconstruction: A New Classification Incorporating the Vertical Dimension.","/pubmed/31348358","Alghoul MS, Bricker JT, Vaca EE, Purnell CA.","Plast Reconstr Surg. 2019 Aug;144(2):443-455. doi: 10.1097/PRS.0000000000005882.","Plast Reconstr Surg.  2019","PubMed","citation","PMID:31348358","pubmed","31348358","create date:2019/07/28 | first author:Alghoul MS",
"Seasonal Changes in Physiological Responses and Body Composition During a Competitive Season in Male and Female Elite Collegiate Ice Hockey Players.","/pubmed/31344012","Delisle-Houde P, Reid RER, Insogna JA, Chiarlitti NA, Andersen RE.","J Strength Cond Res. 2019 Aug;33(8):2162-2169. doi: 10.1519/JSC.0000000000002338.","J Strength Cond Res.  2019","PubMed","citation","PMID:31344012","pubmed","31344012","create date:2019/07/26 | first author:Delisle-Houde P",
"Is Ischemic Preconditioning Intervention Occlusion-Dependent to Enhance Resistance Exercise Performance?","/pubmed/31343550","de Souza HLR, Arriel RA, Hohl R, da Mota GR, Marocolo M.","J Strength Cond Res. 2019 Jul 22. doi: 10.1519/JSC.0000000000003224. [Epub ahead of print]","J Strength Cond Res.  2019","PubMed","citation","PMID:31343550","pubmed","31343550","create date:2019/07/26 | first author:de Souza HLR",
"A Web-Based Exercise System (e-CuidateChemo) to Counter the Side Effects of Chemotherapy in Patients With Breast Cancer: Randomized Controlled Trial.","/pubmed/31342907","Ariza-Garcia A, Lozano-Lozano M, Galiano-Castillo N, Postigo-Martin P, Arroyo-Morales M, Cantarero-Villanueva I.","J Med Internet Res. 2019 Jul 24;21(7):e14418. doi: 10.2196/14418.","J Med Internet Res.  2019","PubMed","citation","PMID:31342907","pubmed","31342907","create date:2019/07/26 | first author:Ariza-Garcia A",
"Drive for leanness: potentially less maladaptive compared to drives for thinness and muscularity.","/pubmed/31342456","Lang B, Rancourt D.","Eat Weight Disord. 2019 Jul 24. doi: 10.1007/s40519-019-00753-1. [Epub ahead of print]","Eat Weight Disord.  2019","PubMed","citation","PMID:31342456","pubmed","31342456","create date:2019/07/26 | first author:Lang B",
"Subtypes of Park Use and Self-Reported Psychological Benefits Among Older Adults: A Multilevel Latent Class Analysis Approach.","/pubmed/31341342","Li D, Zhai Y, Xiao Y, Newman G, Wang.","Landsc Urban Plan. 2019 Oct;190. pii: 103605. doi: 10.1016/j.landurbplan.2019.103605. Epub 2019 Jul 3.","Landsc Urban Plan.  2019","PubMed","citation","PMID:31341342 | PMCID:PMC6656528","pubmed","31341342","create date:2019/07/26 | first author:Li D",
"Effect of probiotic and prebiotic versus placebo on appetite in patients with major depressive disorder: post hoc analysis of a randomised clinical trial.","/pubmed/31338923","Kazemi A, Noorbala AA, Djafarian K.","J Hum Nutr Diet. 2019 Jul 23. doi: 10.1111/jhn.12675. [Epub ahead of print]","J Hum Nutr Diet.  2019","PubMed","citation","PMID:31338923","pubmed","31338923","create date:2019/07/25 | first author:Kazemi A",
"The efficacy of foot orthoses in individuals with patellofemoral osteoarthritis: a randomised feasibility trial.","/pubmed/31338205","Tan JM, Menz HB, Crossley KM, Munteanu SE, Hart HF, Middleton KJ, Smith AJ, Collins NJ.","Pilot Feasibility Stud. 2019 Jul 11;5:90. doi: 10.1186/s40814-019-0469-7. eCollection 2019.","Pilot Feasibility Stud.  2019","PubMed","citation","PMID:31338205 | PMCID:PMC6625074","pubmed","31338205","create date:2019/07/25 | first author:Tan JM",
"Adherence to lifestyle changes after coronary artery bypass graft: Outcome of preoperative peer education.","/pubmed/31337518","Golaghaie F, Esmaeili-Kalantari S, Sarzaeem M, Rafiei F.","Patient Educ Couns. 2019 Jul 16. pii: S0738-3991(19)30304-0. doi: 10.1016/j.pec.2019.07.019. [Epub ahead of print]","Patient Educ Couns.  2019","PubMed","citation","PMID:31337518","pubmed","31337518","create date:2019/07/25 | first author:Golaghaie F",
"The association between dietary antioxidants and adipokines level among obese women.","/pubmed/31336494","Daneshzad E, Farsad-Naeimi A, Heshmati J, Mirzaei K, Maghbooli Z, Keshavarz SA.","Diabetes Metab Syndr. 2019 Mar - Apr;13(2):1369-1373. doi: 10.1016/j.dsx.2019.02.022. Epub 2019 Feb 13.","Diabetes Metab Syndr.  2019","PubMed","citation","PMID:31336494","pubmed","31336494","create date:2019/07/25 | first author:Daneshzad E",
"Longitudinal Analysis of Bruch's Membrane Opening Morphometry in Myopic Glaucoma.","/pubmed/31335553","Bhalla M, Heisler M, Han SX, Sarunic MV, Beg MF, Mackenzie PJ, Lee S.","J Glaucoma. 2019 Jul 19. doi: 10.1097/IJG.0000000000001332. [Epub ahead of print]","J Glaucoma.  2019","PubMed","citation","PMID:31335553","pubmed","31335553","create date:2019/07/25 | first author:Bhalla M",
"School Readiness in Preschoolers With Symptoms of Attention-Deficit/Hyperactivity Disorder.","/pubmed/31331986","Perrin HT, Heller NA, Loe IM.","Pediatrics. 2019 Aug;144(2). pii: e20190038. doi: 10.1542/peds.2019-0038. Epub 2019 Jul 22.","Pediatrics.  2019","PubMed","citation","PMID:31331986","pubmed","31331986","create date:2019/07/25 | first author:Perrin HT",
"Effectiveness of a homeopathic complex medicine in infantile colic: A randomized multicenter study.","/pubmed/31331550","Raak C, Krueger P, Klement P, De Jaegere S, Weber S, Keller T, Ilyenko L, Martin D, Ostermann T.","Complement Ther Med. 2019 Aug;45:136-141. doi: 10.1016/j.ctim.2019.05.026. Epub 2019 Jun 1.","Complement Ther Med.  2019","PubMed","citation","PMID:31331550","pubmed","31331550","create date:2019/07/25 | first author:Raak C",
"A combined epigenome- and transcriptome-wide association study of the oral masticatory mucosa assigns CYP1B1 a central role for epithelial health in smokers.","/pubmed/31331382","Richter GM, Kruppa J, Munz M, Wiehe R, Häsler R, Franke A, Martins O, Jockel-Schneider Y, Bruckmann C, Dommisch H, Schaefer AS.","Clin Epigenetics. 2019 Jul 22;11(1):105. doi: 10.1186/s13148-019-0697-y.","Clin Epigenetics.  2019","PubMed","citation","PMID:31331382 | PMCID:PMC6647091","pubmed","31331382","create date:2019/07/25 | first author:Richter GM",
"Widespread Pressure Pain Sensitivity over Nerve Trunk Areas in Women with Frequent Episodic Tension-Type Headache as a Sign of Central Sensitization.","/pubmed/31329227","Caamaño-Barrios LH, Galán-Del-Río F, Fernández-de-Las-Peñas C, Plaza-Manzano G, Arendt-Nielsen L, Ortega-Santiago R.","Pain Med. 2019 Jul 22. pii: pnz146. doi: 10.1093/pm/pnz146. [Epub ahead of print]","Pain Med.  2019","PubMed","citation","PMID:31329227","pubmed","31329227","create date:2019/07/23 | first author:Caamaño-Barrios LH",
"Sample size calculation and blinded recalculation for analysis of covariance models with multiple random covariates.","/pubmed/31327284","Zimmermann G, Kieser M, Bathke AC.","J Biopharm Stat. 2019 Jul 21:1-17. doi: 10.1080/10543406.2019.1632871. [Epub ahead of print]","J Biopharm Stat.  2019","PubMed","citation","PMID:31327284","pubmed","31327284","create date:2019/07/23 | first author:Zimmermann G",
"Mental Health Literacy, Stigma, and Behavioral Health Service Use: the Case of Latinx and Non-Latinx Whites.","/pubmed/31327136","Benuto LT, Gonzalez F, Reinosa-Segovia F, Duckworth M.","J Racial Ethn Health Disparities. 2019 Jul 20. doi: 10.1007/s40615-019-00614-8. [Epub ahead of print]","J Racial Ethn Health Disparities.  2019","PubMed","citation","PMID:31327136","pubmed","31327136","create date:2019/07/22 | first author:Benuto LT",
"Generational Differences: A Comparison of Weight-Related Cognitions and Behaviors of Generation X and Millennial Mothers of Preschool Children.","/pubmed/31323912","Xiong R, Spaccarotella K, Quick V, Byrd-Bredbenner C.","Int J Environ Res Public Health. 2019 Jul 9;16(13). pii: E2431. doi: 10.3390/ijerph16132431.","Int J Environ Res Public Health.  2019","PubMed","citation","PMID:31323912 | PMCID:PMC6651214","pubmed","31323912","create date:2019/07/22 | first author:Xiong R",
"Abnormal Regional Homogeneity in Patients With Obsessive-Compulsive Disorder and Their Unaffected Siblings: A Resting-State fMRI Study.","/pubmed/31316408","Yang X, Luo J, Zhong Z, Yang X, Yao S, Wang P, Gao J, Liu R, Sun J, Li Z.","Front Psychiatry. 2019 Jun 28;10:452. doi: 10.3389/fpsyt.2019.00452. eCollection 2019.","Front Psychiatry.  2019","PubMed","citation","PMID:31316408 | PMCID:PMC6609574","pubmed","31316408","create date:2019/07/19 | first author:Yang X",
"The Interaction of Rape Myth Acceptance and Alcohol Intoxication on Bystander Intervention.","/pubmed/31315505","Jozkowski KN, Willis M, Hurd LE, Ham LS, Bridges AJ, Wiersma-Mosley JD.","J Interpers Violence. 2019 Jul 17:886260519863720. doi: 10.1177/0886260519863720. [Epub ahead of print]","J Interpers Violence.  2019","PubMed","citation","PMID:31315505","pubmed","31315505","create date:2019/07/19 | first author:Jozkowski KN",
"A pilot randomized controlled trial of a gratitude intervention for adolescents with Type 1 diabetes.","/pubmed/31315150","Schache KR, Hofman PL, Serlachius AS.","Diabet Med. 2019 Jul 17. doi: 10.1111/dme.14078. [Epub ahead of print]","Diabet Med.  2019","PubMed","citation","PMID:31315150","pubmed","31315150","create date:2019/07/18 | first author:Schache KR",
"Smoking Status, Body Mass Index, Health-Related Quality of Life, and Acceptance of Life With Illness in Stable Outpatients With COPD.","/pubmed/31312165","Wytrychiewicz K, Pankowski D, Janowski K, Bargiel-Matusiewicz K, Dąbrowski J, Fal AM.","Front Psychol. 2019 Jul 2;10:1526. doi: 10.3389/fpsyg.2019.01526. eCollection 2019.","Front Psychol.  2019","PubMed","citation","PMID:31312165 | PMCID:PMC6614432","pubmed","31312165","create date:2019/07/18 | first author:Wytrychiewicz K",
