Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Rivera, A., Gelcich, S., García-Flórez, L., Acuña, J.L.","56028545900;8563637100;6603009318;7004505799;","Social attributes can drive or deter the sustainability of bottom-up management systems",2019,"Science of the Total Environment","690",,,"760","767",,,"10.1016/j.scitotenv.2019.06.323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068565524&doi=10.1016%2fj.scitotenv.2019.06.323&partnerID=40&md5=6cbd66653c89065d2abc2dd5720d3566",Article,"Final",,Scopus,2-s2.0-85068565524
"Ruiz-Delgado, M.C., González-Ortegón, E., Herrera, I., Drake, P., Almón, B., Vilas, C., Baldó, F.","56304900700;10839991800;55096034700;7006617990;56127737700;10839163700;6602706408;","Physiological responses to estuarine stress gradient affect performance and field distribution of the non-native crustacean Synidotea laticauda",2019,"Estuarine, Coastal and Shelf Science","225",, 106233,"","",,,"10.1016/j.ecss.2019.05.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067052918&doi=10.1016%2fj.ecss.2019.05.015&partnerID=40&md5=b27edc28899a0e09ff1c3cb14814dd87",Article,"Final",,Scopus,2-s2.0-85067052918
"Karacan, C.Ö.","6603910550;","An ANCOVA model for porosity and its uncertainty for oil reservoirs based on TORIS dataset",2019,"Journal of Petroleum Science and Engineering","180",,,"584","593",,,"10.1016/j.petrol.2019.05.071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066622478&doi=10.1016%2fj.petrol.2019.05.071&partnerID=40&md5=dcc7482e816eefabb936b4c7531dacb4",Article,"Final",,Scopus,2-s2.0-85066622478
"Bachiller, A.R., Rodríguez, J.L.G., Sánchez, J.C.R., Gómez, D.L.","57208701829;57190049767;55452619200;57208812844;","Specific sediment yield model for reservoirs with medium-sized basins in Spain: An empirical and statistical approach",2019,"Science of the Total Environment","681",,,"82","101",,,"10.1016/j.scitotenv.2019.05.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065594059&doi=10.1016%2fj.scitotenv.2019.05.029&partnerID=40&md5=f5939bc329c8af344f0afdaf6b6a7012",Article,"Final",,Scopus,2-s2.0-85065594059
"Oliveira, H.R., Brito, L.F., Lourenco, D.A.L., Silva, F.F., Jamrozik, J., Schaeffer, L.R., Schenkel, F.S.","26655021400;36843676900;55841211100;57208747028;7003693280;7006677374;7003623733;","Invited review: Advances and applications of random regression models: From quantitative genetics to genomics",2019,"Journal of Dairy Science","102","9",,"7664","7683",,,"10.3168/jds.2019-16265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067891412&doi=10.3168%2fjds.2019-16265&partnerID=40&md5=425322fd9eedbc93090b91e07c09b0e2",Article,"Final",,Scopus,2-s2.0-85067891412
"Mason, C.J., Ray, S., Shikano, I., Peiffer, M., Jones, A.G., Luthe, D.S., Hoover, K., Felton, G.W.","55305541500;55671059400;25650746100;6602287804;57194503068;6602757387;7005286497;7102783537;","Plant defenses interact with insect enteric bacteria by initiating a leaky gut syndrome",2019,"Proceedings of the National Academy of Sciences of the United States of America","116","32",,"15991","15996",,,"10.1073/pnas.1908748116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070241674&doi=10.1073%2fpnas.1908748116&partnerID=40&md5=3bf70cfd6a99cbd32c47bdad10640d4e",Article,"Final",Open Access,Scopus,2-s2.0-85070241674
"Vermeiden, M., Janssens, M., Thewissen, V., Akinsola, E., Peeters, S., Reijnders, J., Jacobs, N., Van Os, J., Lataster, J.","57210364140;55432813600;8607732600;57036893100;56016637000;23668758700;21742780300;57194115841;21934260000;","Cultural differences in positive psychotic experiences assessed with the Community Assessment of Psychic Experiences-42 (CAPE-42): A comparison of student populations in the Netherlands, Nigeria and Norway",2019,"BMC Psychiatry","19","1", 244,"","",,,"10.1186/s12888-019-2210-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070459847&doi=10.1186%2fs12888-019-2210-8&partnerID=40&md5=4300600b6f3b130f90a3baca11ca2bcf",Article,"Final",Open Access,Scopus,2-s2.0-85070459847
"Sacko, R.S., Nesbitt, D., McIver, K., Brian, A., Bardid, F., Stodden, D.F.","57194212738;57191710939;9841091500;56494939600;55897554600;6508228617;","Children’s metabolic expenditure during object projection skill performance: New insight for activity intensity relativity",2019,"Journal of Sports Sciences","37","15",,"1755","1761",,,"10.1080/02640414.2019.1592801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063325531&doi=10.1080%2f02640414.2019.1592801&partnerID=40&md5=13b111c3231fa4c7dd98aa9ffd585a79",Article,"Final",,Scopus,2-s2.0-85063325531
"Zhao, N., Ngo, H.H., Li, Y., Wang, X., Yang, L., Jin, P., Sun, G.","57209801442;57209800501;7502096327;57203020130;57208730464;14029998800;56735015300;","A comprehensive simulation approach for pollutant bio-transformation in the gravity sewer",2019,"Frontiers of Environmental Science and Engineering","13","4", 62,"","",,,"10.1007/s11783-019-1144-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068737749&doi=10.1007%2fs11783-019-1144-1&partnerID=40&md5=c51e1be4c1e74eb6b57b3d0d90d85dde",Article,"Final",,Scopus,2-s2.0-85068737749
"Orkin, J., Chan, C.Y., Fayed, N., Lin, J.L.L., Major, N., Lim, A., Peebles, E.R., Moretti, M.E., Soscia, J., Sultan, R., Willan, A.R., Offringa, M., Guttmann, A., Bartlett, L., Kanani, R., Culbert, E., Hardy-Brown, K., Gordon, M., Perlmutar, M., Cohen, E.","56898854900;57210286193;19933531900;57202821886;57200218951;57197755098;55547484800;7102632644;53164737200;57202428830;7005207254;57203397312;7004302588;57210285284;6603145039;6603462998;57194636620;35218968600;56079812300;7403588826;","Complex care for kids Ontario: Protocol for a mixed-methods randomised controlled trial of a population-level care coordination initiative for children with medical complexity",2019,"BMJ Open","9","8", e028121,"","",,,"10.1136/bmjopen-2018-028121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070236800&doi=10.1136%2fbmjopen-2018-028121&partnerID=40&md5=c05be32c5fbb30e4bf01f7e4a6746d73",Article,"Final",Open Access,Scopus,2-s2.0-85070236800
"Koh, Y.Y.J., Rotgans, J.I., Rajalingam, P., Gagnon, P., Low-Beer, N., Schmidt, H.G.","57205702665;35146858100;57196375480;57194141025;6507715119;7404731734;","Effects of graded versus ungraded individual readiness assurance scores in team-based learning: a quasi-experimental study",2019,"Advances in Health Sciences Education","24","3",,"477","488",,1,"10.1007/s10459-019-09878-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061200132&doi=10.1007%2fs10459-019-09878-5&partnerID=40&md5=abbbe5dacd4bb47f40e7e47415727f47",Article,"Final",,Scopus,2-s2.0-85061200132
"Zhao, K., Zhang, M., Xu, J.","57203619846;36728745200;57043691600;","Carbon reliance on dissolved inorganic carbon of junior and matured reed beds indicated by stable isotope analysis",2019,"Journal of Animal and Plant Sciences","29","4",,"971","977",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069633079&partnerID=40&md5=e09c6695b133d22c17b96e74ce4f6e25",Article,"Final",,Scopus,2-s2.0-85069633079
"Lin, C.-P., Chiu, C.-K., Liu, N.-T.","25723578300;9434185800;35199885500;","Developing virtual team performance: an integrated perspective of social exchange and social cognitive theories",2019,"Review of Managerial Science","13","4",,"671","688",,,"10.1007/s11846-017-0261-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033453099&doi=10.1007%2fs11846-017-0261-0&partnerID=40&md5=1d9af65092381c8cea3983497707bbfd",Article,"Final",,Scopus,2-s2.0-85033453099
"Benzing, V., Schmidt, M.","57192068299;55601731900;","The effect of exergaming on executive functions in children with ADHD: A randomized clinical trial",2019,"Scandinavian Journal of Medicine and Science in Sports","29","8",,"1243","1253",,,"10.1111/sms.13446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068920847&doi=10.1111%2fsms.13446&partnerID=40&md5=07c0ea7845f7477aa080ea7850823eb1",Article,"Final",Open Access,Scopus,2-s2.0-85068920847
"Teigné, D., Mabileau, G., Anthoine, E., Lucas, M., Leclère, B., Moret, L., Terrien, N.","54884001300;57209984039;54929812300;57195313237;55758691800;6603948118;55368973500;","Transcultural adaptation and psychometric study of the French version of the nursing home survey on patient safety culture questionnaire",2019,"BMC Health Services Research","19","1", 490,"","",,,"10.1186/s12913-019-4333-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069208174&doi=10.1186%2fs12913-019-4333-5&partnerID=40&md5=24a81dd75a143eb3402914be07847c67",Article,"Final",Open Access,Scopus,2-s2.0-85069208174
"Huang, Y.-H., Hou, C.-L., Ng, C.H., Chen, X., Wang, Q.-W., Huang, Z.-H., Jia, F.-J.","57209552096;15755930000;7401705471;57205483180;57205495596;57205484783;8629805600;","Sexual dysfunction in Chinese rural patients with schizophrenia",2019,"BMC Psychiatry","19","1", 218,"","",,,"10.1186/s12888-019-2205-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068986298&doi=10.1186%2fs12888-019-2205-5&partnerID=40&md5=42c24c33f8470a18cf9b751c1b3d8728",Article,"Final",Open Access,Scopus,2-s2.0-85068986298
"Pan, C., Wang, X., Deng, Y., Li, P., Liao, Y., Ma, X., Yang, G.-P., Dai, L., Tang, Q.","57208292293;57208310173;55785504000;57207203687;34978747200;57199215914;35760710800;57207197306;7201632119;","Efficacy of mindfulness-based intervention (â mindfulness-based joyful sleep') in young and middle-aged individuals with insomnia using a biomarker of inflammatory responses: A prospective protocol of a randomised controlled trial in China",2019,"BMJ Open","9","7", e027061,"","",,,"10.1136/bmjopen-2018-027061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068860333&doi=10.1136%2fbmjopen-2018-027061&partnerID=40&md5=601f1270ff0129a43c009facbf4e876c",Article,"Final",Open Access,Scopus,2-s2.0-85068860333
"Kang, D.-W., Fairey, A.S., Boulé, N.G., Field, C.J., Courneya, K.S.","56518852200;6603192485;6508056178;7202432370;7005082194;","Exercise duRing active surveillance for prostate cancer-the ERASE trial:A study protocol of a phase II randomised controlled trial",2019,"BMJ Open","9","7", e026438,"","",,,"10.1136/bmjopen-2018-026438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068695131&doi=10.1136%2fbmjopen-2018-026438&partnerID=40&md5=949f7d2905e9abcb63d02ca3ee44ba4f",Article,"Final",Open Access,Scopus,2-s2.0-85068695131
"Ziegler, D.A., Simon, A.J., Gallen, C.L., Skinner, S., Janowich, J.R., Volponi, J.J., Rolle, C.E., Mishra, J., Kornfield, J., Anguera, J.A., Gazzaley, A.","7202565077;57190401708;50961097700;57190406162;56830520600;57196004313;55848964600;9273896600;56445711400;23017788300;6602657531;","Closed-loop digital meditation improves sustained attention in young adults",2019,"Nature Human Behaviour","3","7",,"746","757",,,"10.1038/s41562-019-0611-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066863765&doi=10.1038%2fs41562-019-0611-9&partnerID=40&md5=79a7fbf402c1ad55e17a268054beb17a",Article,"Final",,Scopus,2-s2.0-85066863765
"Yang, T.-C., Chen, I.-C., Choi, S.-W., Kurtulus, A.","25959416500;55326523400;56426657700;57202642508;","Linking perceived discrimination during adolescence to health during mid-adulthood: Self-esteem and risk-behavior mechanisms",2019,"Social Science and Medicine","232",,,"434","443",,1,"10.1016/j.socscimed.2018.06.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048945679&doi=10.1016%2fj.socscimed.2018.06.012&partnerID=40&md5=29f9670e4fbfb24ea2e85a196da702e9",Article,"Final",,Scopus,2-s2.0-85048945679
"Gill, D.P., Blunt, W., Boa Sorte Silva, N.C., Stiller-Moldovan, C., Zou, G.Y., Petrella, R.J.","10242745200;57191626963;57191861636;54966716300;57199199178;55924573000;","The HealtheSteps™ lifestyle prescription program to improve physical activity and modifiable risk factors for chronic disease: A pragmatic randomized controlled trial",2019,"BMC Public Health","19","1", 841,"","",,,"10.1186/s12889-019-7141-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068140758&doi=10.1186%2fs12889-019-7141-2&partnerID=40&md5=3256dd8cd275fda659f0fa10bb08eb51",Article,"Final",Open Access,Scopus,2-s2.0-85068140758
"Bondevik, G.T., Hofoss, D., Husebø, B.S., Deilkås, E.C.T.","6603223732;7003352399;8293218100;25625939900;","The safety attitudes questionnaire - Ambulatory version: Psychometric properties of the Norwegian version for nursing homes",2019,"BMC Health Services Research","19","1", 423,"","",,,"10.1186/s12913-019-4244-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068127111&doi=10.1186%2fs12913-019-4244-5&partnerID=40&md5=2ba2caa866d48b5a06e47a8f1b053198",Article,"Final",Open Access,Scopus,2-s2.0-85068127111
"Noh, G.-O., Kim, D.H.","57190180081;56942683300;","Effectiveness of a self-directed learning program using blended coaching among nursing students in clinical practice: A quasi-experimental research design",2019,"BMC Medical Education","19","1", 225,"","",,,"10.1186/s12909-019-1672-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068143072&doi=10.1186%2fs12909-019-1672-1&partnerID=40&md5=fa53ac49df66cf5db1549e4a5d56ff7f",Article,"Final",Open Access,Scopus,2-s2.0-85068143072
"O'Connell, J., Henman, M.C., Burke, É., Donegan, C., McCallion, P., McCarron, M., O'Dwyer, M.","57200628261;6701374699;55388364900;57110890100;55887002600;8514737800;56199868700;","Association of Drug Burden Index with grip strength, timed up and go and Barthel index activities of daily living in older adults with intellectual disabilities: An observational cross-sectional study",2019,"BMC Geriatrics","19","1", 173,"","",,,"10.1186/s12877-019-1190-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068191136&doi=10.1186%2fs12877-019-1190-3&partnerID=40&md5=7ebd85acf5415f55336cb08e4af078b1",Article,"Final",Open Access,Scopus,2-s2.0-85068191136
"Berry, D.B., Padwal, J., Johnson, S., Englund, E.K., Ward, S.R., Shahidi, B.","56998109100;56032607700;57201977458;57209405080;7402385746;55444385000;","The effect of high-intensity resistance exercise on lumbar musculature in patients with low back pain: A preliminary study",2019,"BMC Musculoskeletal Disorders","20","1", 290,"","",,,"10.1186/s12891-019-2658-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067501372&doi=10.1186%2fs12891-019-2658-1&partnerID=40&md5=59986e255e2007692524e23dc254448b",Article,"Final",Open Access,Scopus,2-s2.0-85067501372
"Dwivedi, Y.K., Rana, N.P., Jeyaraj, A., Clement, M., Williams, M.D.","35239818900;50262828700;16426012500;57190986220;7410004434;","Re-examining the Unified Theory of Acceptance and Use of Technology (UTAUT): Towards a Revised Theoretical Model",2019,"Information Systems Frontiers","21","3",,"719","734",,78,"10.1007/s10796-017-9774-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020296213&doi=10.1007%2fs10796-017-9774-y&partnerID=40&md5=b6467b2cd519fefdb9ddc993005b2d61",Article,"Final",Open Access,Scopus,2-s2.0-85020296213
"Ketels, M., De Bacquer, D., Geens, T., Janssens, H., Korshøj, M., Holtermann, A., Clays, E.","57209311803;35393397100;23988551900;6603831187;37081089700;6507009913;6507717322;","Assessing physiological response mechanisms and the role of psychosocial job resources in the physical activity health paradox: Study protocol for the Flemish Employees' Physical Activity (FEPA) study",2019,"BMC Public Health","19","1", 765,"","",,,"10.1186/s12889-019-6950-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067271702&doi=10.1186%2fs12889-019-6950-7&partnerID=40&md5=8eee093974e5b494f5d1f33af6a1d838",Article,"Final",Open Access,Scopus,2-s2.0-85067271702
"Kuo, Y.-R., Tuan, H.-L., Chin, C.-C.","57202611124;7006933450;8228069700;","Examining Low and Non-low Achievers’ Motivation Towards Science Learning Under Inquiry-Based Instruction",2019,"International Journal of Science and Mathematics Education","17","5",,"845","862",,,"10.1007/s10763-018-9908-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048874453&doi=10.1007%2fs10763-018-9908-9&partnerID=40&md5=cae01fcd9e8daae751a01d2d5813d49e",Article,"Final",,Scopus,2-s2.0-85048874453
"Summers, R., Wang, S., Abd-El-Khalick, F., Said, Z.","56924542400;57196155558;6602606306;56925071800;","Comparing Likert Scale Functionality Across Culturally and Linguistically Diverse Groups in Science Education Research: an Illustration Using Qatari Students’ Responses to an Attitude Toward Science Survey",2019,"International Journal of Science and Mathematics Education","17","5",,"885","903",,,"10.1007/s10763-018-9889-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066923543&doi=10.1007%2fs10763-018-9889-8&partnerID=40&md5=65cdf8d4343bb8e2878d6dd81185aff2",Article,"Final",,Scopus,2-s2.0-85066923543
"Segovia-Siapco, G., Burkholder-Cooley, N., Haddad Tabrizi, S., Sabaté, J.","16064739700;57188803979;57208150765;7005752910;","Beyond meat: A comparison of the dietary intakes of vegetarian and non-vegetarian adolescents",2019,"Frontiers in Nutrition","6",, 86,"","",,,"10.3389/fnut.2019.00086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067839498&doi=10.3389%2ffnut.2019.00086&partnerID=40&md5=abd7f4933b76e541898e24412f49779b",Article,"Final",Open Access,Scopus,2-s2.0-85067839498
"Creeth, J., Gallob, J., Sufi, F., Qaqish, J., Gomez-Pereira, P., Budhawant, C., Goyal, C.","7004095208;55372280500;6603114090;6603888945;57204476501;57200337823;8978896000;","Randomised clinical studies investigating immediate and short-term efficacy of an occluding toothpaste in providing dentine hypersensitivity relief",2019,"BMC Oral Health","19","1", 98,"","",,,"10.1186/s12903-019-0781-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066855774&doi=10.1186%2fs12903-019-0781-x&partnerID=40&md5=6233b35d14f10f88fb516833765d4e88",Article,"Final",Open Access,Scopus,2-s2.0-85066855774
"Johnston, W., Duignan, C., Coughlan, G.F., Caulfield, B.","57192429963;57205199850;16443951400;6602906583;","Dynamic balance performance varies by position but not by age group in elite Rugby Union players–a normative study",2019,"Journal of Sports Sciences","37","11",,"1308","1313",,,"10.1080/02640414.2018.1557360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059029547&doi=10.1080%2f02640414.2018.1557360&partnerID=40&md5=e17255ca5133c5e720fbb28263115684",Article,"Final",,Scopus,2-s2.0-85059029547
"Lee, U., Garcia, T.P., Carroll, R.J., Gilbreath, K.R., Wu, G.","57209307734;55939490400;7201448904;57193486059;7404975831;","Analysis of repeated measures data in nutrition research",2019,"Frontiers in Bioscience - Landmark","24","7",,"1377","1389",,,"10.2741/4785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067284847&doi=10.2741%2f4785&partnerID=40&md5=a13147d9aafb6dea8d203280c9d06d94",Article,"Final",,Scopus,2-s2.0-85067284847
"Barth, J., Kern, A., Lüthi, S., Witt, C.M.","56661767100;57209347770;57209342332;8583935700;","Assessment of patients' expectations: Development and validation of the Expectation for Treatment Scale (ETS)",2019,"BMJ Open","9","6", e026712,"","",,,"10.1136/bmjopen-2018-026712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067474284&doi=10.1136%2fbmjopen-2018-026712&partnerID=40&md5=ca604fb0ef49371a722ca533112e7576",Article,"Final",Open Access,Scopus,2-s2.0-85067474284
"Chen, F., Yang, H., Bulut, O., Cui, Y., Xin, T.","57190072815;57209332086;42561052700;57202881336;7003499953;","Examining the relation of personality factors to substance use disorder by explanatory item response modeling of DSM-5 symptoms",2019,"PLoS ONE","14","6", e0217630,"","",,,"10.1371/journal.pone.0217630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067402478&doi=10.1371%2fjournal.pone.0217630&partnerID=40&md5=b9052d98639953cbd41f6a7777c7ec0a",Article,"Final",Open Access,Scopus,2-s2.0-85067402478
"Sewell, D.K.","56516418500;","Latent space models for network perception data",2019,"Network Science","7","2",,"160","179",,,"10.1017/nws.2019.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065308718&doi=10.1017%2fnws.2019.1&partnerID=40&md5=bf2f73543da69bf8de40d83d5334af12",Article,"Final",,Scopus,2-s2.0-85065308718
"Williams, S.A., Spear, J.K., Petrullo, L., Goldstein, D.M., Lee, A.B., Peterson, A.L., Miano, D.A., Kaczmarek, E.B., Shattuck, M.R.","34881015000;57203711255;57205328159;57208689259;57192704665;57208779090;57208771381;57208776910;36087932300;","Increased variation in numbers of presacral vertebrae in suspensory mammals",2019,"Nature Ecology and Evolution","3","6",,"949","956",,,"10.1038/s41559-019-0894-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065795402&doi=10.1038%2fs41559-019-0894-2&partnerID=40&md5=d2f15d5a89a87cceba8d01694c2be86c",Article,"Final",,Scopus,2-s2.0-85065795402
"Allen, K.D., Bongiorni, D., Caves, K., Coffman, C.J., Floegel, T.A., Greysen, H.M., Hall, K.S., Heiderscheit, B., Hoenig, H.M., Huffman, K.M., Morey, M.C., Ramasunder, S., Severson, H., Smith, B., Van Houtven, C., Woolson, S.","12241719000;6505869521;6506758147;7003911050;56829413500;57194556917;26532515400;6603343381;7004998294;14619440500;35447220100;36646557000;35595801300;57209048302;6506825340;57207603424;","STepped exercise program for patients with knee OsteoArthritis (STEP-KOA): Protocol for a randomized controlled trial",2019,"BMC Musculoskeletal Disorders","20","1", 254,"","",,,"10.1186/s12891-019-2627-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066412436&doi=10.1186%2fs12891-019-2627-8&partnerID=40&md5=803ffcd97ed621a5fbda44893d8b6150",Article,"Final",Open Access,Scopus,2-s2.0-85066412436
